Dp_1	Dp_2	N_star	N_proplyd	N_dark	N_bowshock	N_bowprop
0.0	30.0	71	29	2	10	9
30.0	60.0	118	29	2	8	8
60.0	90.0	121	27	3	4	4
90.0	120.0	130	20	5	4	4
120.0	150.0	122	22	0	4	3
150.0	180.0	153	18	4	4	3
180.0	210.0	96	7	0	2	1
210.0	240.0	97	8	1	6	5
240.0	270.0	109	9	3	6	5
270.0	300.0	80	1	3	2	0
300.0	330.0	95	3	0	0	0
330.0	360.0	120	3	0	2	2
360.0	390.0	115	2	0	1	1
390.0	420.0	131	1	1	0	0
420.0	450.0	138	0	0	3	0
450.0	480.0	121	2	1	3	2
480.0	510.0	125	2	1	3	0
510.0	540.0	103	0	1	2	0
540.0	570.0	107	0	1	1	0
570.0	600.0	107	2	0	3	2
